epoch,critic_loss,gen_loss
0,-7.3123369216918945,-6.642523288726807
1,-2.4302892684936523,-12.180440902709961
2,-5.649354457855225,5.123608112335205
3,-3.826245069503784,-1.7742611169815063
4,-5.258195877075195,-5.670867919921875
5,-3.561737060546875,2.8430094718933105
6,-3.252781391143799,2.7599611282348633
7,-3.0291080474853516,4.1501312255859375
8,-2.835634231567383,2.3627092838287354
9,-5.986887454986572,6.686583995819092
10,-3.6824898719787598,-4.706015586853027
11,-3.3664426803588867,-18.936796188354492
12,-6.049522876739502,4.613752841949463
13,-3.6041300296783447,-1.5072427988052368
14,-5.523360252380371,-1.2894514799118042
15,-3.4111976623535156,4.983969688415527
16,-3.0640902519226074,-1.7438074350357056
